DATE ; SOURCE ; PORT ; DESTINATION ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; LENGTH
11:42:06;190-0-175-100.gba.solunet.com.ar;2658;com;S;760422680:760422800;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2659;com;S;514200755:514200875;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2660;com;S;2058081561:2058081681;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2661;com;S;818181888:818182008;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2662;com;S;928174225:928174345;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2663;com;S;1336469386:1336469506;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2664;com;S;1786409770:1786409890;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2665;com;S;324755237:324755357;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2666;com;S;1452211016:1452211136;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2667;com;S;1443530962:1443531082;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2668;com;S;1153766108:1153766228;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2669;com;S;1082899630:1082899750;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2670;com;S;158165907:158166027;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2671;com;S;289629244:289629364;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2672;com;S;366984968:366985088;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2673;com;S;349800942:349801062;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2674;com;S;576730512:576730632;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2675;com;S;1444083729:1444083849;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2676;com;S;1001269731:1001269851;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2677;com;S;2020684489:2020684609;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2678;com;S;1625641890:1625642010;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2679;com;S;1063644873:1063644993;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2680;com;S;432651757:432651877;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2681;com;S;1092359524:1092359644;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2682;com;S;1245120321:1245120441;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2683;com;S;1258702515:1258702635;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2684;com;S;1588187279:1588187399;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2685;com;S;1348940311:1348940431;;512;;120
